Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Óbitos por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2020;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2019/Jan;2019/Abr;2019/Mai;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez;Total
Rondônia;-;-;-;-;-;-;-;2;10;24;63;52;57;53;59;54;43;37;39;37;39;21;590
Acre;-;-;-;-;-;2;1;4;12;29;27;38;32;38;22;17;14;25;21;24;13;4;323
Amazonas;-;-;-;-;-;-;-;3;14;61;97;86;97;241;140;57;60;70;74;82;52;21;1155
Roraima;-;-;-;-;-;-;-;-;5;1;25;13;20;15;32;82;30;15;13;17;23;5;296
Pará;-;-;-;-;-;-;2;12;41;97;172;171;246;204;432;188;189;163;151;149;96;65;2378
Amapá;-;-;-;-;-;-;-;1;2;6;14;18;12;20;26;9;8;5;3;11;1;2;138
Tocantins;-;-;-;-;-;-;4;23;50;73;40;54;62;39;36;46;48;39;34;16;11;4;579
Maranhão;-;-;-;-;-;-;-;8;18;79;142;164;187;202;215;128;107;114;101;75;52;28;1620
Piauí;-;-;-;-;-;-;1;11;17;64;115;98;132;96;89;90;80;83;79;85;66;24;1130
Ceará;-;-;-;-;-;-;7;42;92;229;376;385;477;399;391;316;282;246;267;257;169;102;4037
Rio Grande do Norte;-;-;-;-;-;-;-;5;12;54;88;90;104;77;78;91;94;82;83;90;52;34;1034
Paraíba;-;-;-;-;-;1;4;20;24;94;150;150;138;132;165;120;129;130;105;116;119;56;1653
Pernambuco;-;-;2;-;1;-;1;2;23;77;300;309;331;398;364;227;196;201;239;195;168;107;3141
Alagoas;-;-;-;-;-;1;2;6;11;57;107;97;97;78;169;118;92;96;75;73;77;18;1174
Sergipe;-;-;-;-;-;-;1;21;45;69;65;85;64;63;76;90;68;66;61;44;22;4;844
Bahia;-;-;2;-;1;4;28;58;94;280;446;401;500;446;375;440;413;398;371;377;240;120;4995
Minas Gerais;1;-;-;-;1;2;10;63;128;415;909;802;980;744;782;800;840;926;773;826;605;417;10026
Espirito Santo;-;-;-;-;-;-;1;37;60;99;131;99;129;191;171;180;186;182;149;129;92;40;1876
Rio de Janeiro;-;1;-;2;2;1;9;66;144;370;575;501;644;1008;1048;751;710;670;623;532;467;329;8453
São Paulo;-;-;1;-;1;4;19;63;141;823;1891;1675;2517;2344;2419;2018;2103;1944;1774;1968;1473;861;24041
Paraná;-;-;-;-;-;6;22;82;129;338;492;417;528;532;475;527;574;587;531;404;339;193;6176
Santa Catarina;-;-;-;-;-;-;5;18;49;183;317;311;358;307;299;324;399;350;298;289;215;105;3827
Rio Grande do Sul;-;-;-;-;4;3;19;38;121;418;596;543;640;543;592;639;724;670;652;577;459;222;7460
Mato Grosso do Sul;-;-;-;-;-;-;16;43;73;100;140;106;166;103;128;104;149;180;151;106;47;14;1626
Mato Grosso;-;-;-;-;-;-;2;7;20;59;112;103;107;95;89;132;121;114;96;114;63;24;1258
Goiás;-;-;-;-;-;5;6;14;41;124;185;208;206;205;200;187;249;179;165;189;101;44;2308
Distrito Federal;-;-;-;-;-;-;2;13;13;35;63;37;57;48;45;63;94;73;56;54;23;14;690
Total;1;1;5;2;10;29;162;662;1389;4258;7638;7013;8888;8621;8917;7798;8002;7645;6984;6836;5084;2878;92828
