Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Internações por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2021;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2020/Fev;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;Total
Rondônia;-;-;-;-;1;-;1;18;54;163;435;413;454;507;602;701;647;569;499;559;526;508;6657
Acre;-;-;-;-;-;-;-;9;28;106;233;227;168;197;244;254;276;258;227;213;244;145;2829
Amazonas;-;-;-;-;-;-;3;22;256;733;1654;1013;954;1081;1104;1136;1241;1196;1212;1427;1212;960;15204
Roraima;-;-;-;-;-;-;-;5;24;112;371;334;284;309;381;359;416;448;293;260;106;90;3792
Pará;-;1;-;-;-;2;5;153;363;1320;2971;2746;2948;2420;2642;2669;2714;3129;3031;2858;2614;1915;34502
Amapá;-;-;-;-;-;-;-;12;41;79;252;233;278;245;242;265;290;316;216;283;183;190;3125
Tocantins;-;-;-;-;-;-;16;87;129;220;348;362;458;413;464;473;380;385;318;220;207;154;4634
Maranhão;-;-;-;-;-;1;5;51;225;700;2206;2653;2949;2801;2693;2344;2299;2533;2736;2917;2654;3006;32773
Piauí;-;-;-;-;-;-;8;61;183;439;1437;1363;1503;1390;1494;1412;1310;1364;1360;1275;1395;1079;17073
Ceará;1;-;-;1;5;29;75;246;641;1190;2024;2097;2749;2429;2899;2833;2838;2825;2681;2697;2494;1899;32653
Rio Grande do Norte;-;-;-;-;-;1;9;22;74;267;615;631;700;723;879;806;770;842;848;861;705;437;9190
Paraíba;-;-;-;-;-;1;8;35;93;310;867;845;974;991;1172;1111;1009;1075;1016;1092;1018;910;12527
Pernambuco;-;-;-;-;-;-;3;52;234;610;1733;1883;2562;2544;2927;2585;2575;2482;2485;2698;2423;1831;29627
Alagoas;-;1;-;-;1;-;10;29;89;283;655;683;686;759;949;892;947;794;763;792;672;366;9371
Sergipe;-;-;-;-;-;2;18;140;196;204;293;398;496;438;507;647;513;536;470;543;328;160;5889
Bahia;-;-;-;-;4;9;77;335;666;1540;3575;3395;3710;3480;4175;4109;4166;4136;3759;3526;3345;2600;46609
Minas Gerais;-;-;-;-;2;5;58;486;1169;2924;5950;5350;6794;6084;6937;6632;7356;6943;6332;6468;6540;5535;81565
Espirito Santo;-;-;-;-;-;-;7;257;588;1341;1403;1478;1842;1460;1592;1568;1732;1647;1268;1076;956;701;18916
Rio de Janeiro;1;-;-;-;3;13;46;298;761;2154;4369;3437;4192;3357;3708;3352;3702;3594;3335;3530;3755;3157;46765
São Paulo;-;-;-;-;4;14;60;407;1094;4563;12221;12652;14636;10523;12647;12412;13805;14626;14027;14746;15873;12367;166677
Paraná;-;-;-;1;1;14;94;523;949;1957;3772;3615;3497;3346;3958;3677;4449;4804;4266;4273;3990;2269;49455
Santa Catarina;-;-;-;-;-;3;37;178;519;1253;2357;2258;2294;2319;3093;2936;3010;3041;3062;3125;2847;1566;33898
Rio Grande do Sul;-;-;-;1;1;4;19;128;560;2057;3685;3218;3021;3310;4580;5113;6080;5951;5347;5656;4189;2073;54993
Mato Grosso do Sul;-;-;-;-;1;3;51;234;328;653;829;881;900;796;995;1035;1184;1144;964;872;739;273;11882
Mato Grosso;-;-;-;-;1;1;7;99;143;303;835;735;971;804;996;921;907;888;844;857;839;715;10866
Goiás;-;-;-;-;1;18;46;166;316;738;1546;1201;1342;1238;1456;1518;1642;1574;1471;1436;1569;1176;18454
Distrito Federal;-;-;1;-;1;1;11;119;211;373;804;878;1453;1090;1200;989;1004;1082;1229;1186;1116;979;13727
Total;2;2;1;3;26;121;674;4172;9934;26592;57440;54979;62815;55054;64536;62749;67262;68182;64059;65446;62539;47061;773653
