Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Taxa Mortalidade por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2020;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2019/Jan;2019/Abr;2019/Mai;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez;Total
Rondônia;...;...;...;...;...;-;-;1,48;5,62;7,12;8,42;7,01;6,73;10,04;15,01;14,14;10,19;7,97;9,75;10,25;11,61;9,38;9,06
Acre;...;...;...;...;-;28,57;7,69;11,11;16,44;22,66;12,62;15,64;12,03;20,77;26,83;16,5;13,08;16,67;12;12,77;11,11;6,15;15,02
Amazonas;...;...;...;...;...;...;-;11,54;8,14;9,76;8,88;7,97;7,07;27,26;22,99;10,44;7,73;8,55;9,71;9,53;6,25;3,93;10,51
Roraima;...;...;...;...;...;...;-;-;9,43;0,54;11,01;5,28;8,13;10,95;31,07;29,82;14,71;6,98;7,65;9,09;12,78;5,26;11,71
Pará;...;...;...;-;-;-;9,52;5,48;6,4;5,7;4,39;4,1;5,04;8,2;15,32;8,7;7,8;5,89;6,25;5,92;4,43;4,91;6,49
Amapá;...;...;...;...;...;...;...;12,5;13,33;5,56;4,64;4,86;3,63;16,81;25;9,78;5,63;2,01;1,63;7,14;1,67;4;6,03
Tocantins;...;...;...;...;...;...;25;17,69;18,38;13,49;6,85;7,75;9,06;11,64;12,9;15,54;15,79;12,66;13,44;7,14;6,15;4,12;11,14
Maranhão;...;...;...;...;-;...;-;10,96;6,16;6,75;4,59;4,57;4,1;8,58;9,08;6,07;4,92;5,29;5,24;3,83;3,2;3,2;5,34
Piauí;...;...;...;...;...;...;7,69;9,4;10;10,85;6,67;5,36;6,13;8,76;8,14;7,17;7,07;7,02;6,42;7,44;6,32;3,1;6,83
Ceará;-;...;...;...;-;-;15,22;12,07;11,4;12,72;10,82;10,23;10,22;17,85;21,02;18,36;15,55;13,64;14,13;14,38;13,34;13,28;13,43
Rio Grande do Norte;...;...;...;...;...;-;-;3,18;4,53;13,2;11,96;12,3;11,09;16,21;18,48;21,26;18,25;14,02;13,22;13,39;10,61;10,43;13,01
Paraíba;...;...;...;...;-;14,29;18,18;18,18;10,53;17;11,11;11,17;9,58;16,58;23,78;19,26;17,62;17,4;14,91;13,71;16,06;10,59;14,42
Pernambuco;...;...;...;...;...;-;33,33;0,65;5,42;6,09;9,65;10,51;10,18;20,44;19,97;15,49;12,11;10,33;11,84;9,92;11,63;12,62;11,91
Alagoas;...;...;...;...;...;100;40;25;6,83;15,92;12,56;12,09;11,55;13,52;34,99;23;14,58;13,68;12,06;9,86;12,69;5,9;14,28
Sergipe;...;-;...;...;...;-;50;13,21;16,36;15,3;11,67;15,63;11,33;19,94;26,67;29,61;19,88;15,42;12,92;13,02;11,64;4,49;15,87
Bahia;-;...;...;-;50;14,81;18,3;10,92;9,39;11,41;8,82;7,79;9,38;13,84;12,26;13,69;12,38;11,96;10,79;10,64;8,03;6,75;10,49
Minas Gerais;...;...;...;...;20;33,33;16,13;11,03;9,84;10,26;10,39;9,24;9,31;12,83;13,19;13,19;11,43;13,37;12,94;14,31;11,73;12,98;11,64
Espirito Santo;...;...;...;...;...;...;2,38;7,55;9,09;8,97;10,19;7,88;8,26;15,69;16,91;16,19;14,13;14,62;13,23;13,24;11,84;10,36;12,05
Rio de Janeiro;...;100;-;100;100;16,67;20;17,74;20,08;19,28;17,11;15,49;16,79;27,22;29,53;22,72;20,27;20,35;19,03;16,69;15,51;17,19;20,01
São Paulo;...;...;...;...;25;26,67;31,67;12,7;11,99;14,77;13,1;10,65;12,21;18,15;17,76;15,86;14,58;14,63;14,26;15,58;13,31;12,72;14,31
Paraná;...;...;...;...;-;13,04;16,92;13,14;10,47;11,66;8,11;7,13;7,91;12,35;11,48;13,06;13,79;14,18;12,89;10,94;10,18;13,1;10,85
Santa Catarina;...;...;...;...;-;-;25;14,29;11,19;12,59;9,92;9,5;9,35;13,57;14,47;13,46;16,58;15,14;13,09;11,8;10,03;10,32;12,08
Rio Grande do Sul;...;...;...;...;28,57;16,67;22,09;9,52;10,39;13,65;11,87;12,65;11,52;15,37;16,06;16,31;17,97;16,14;16,77;14,87;13,89;14,6;14,48
Mato Grosso do Sul;...;...;...;...;...;-;29,09;17,2;12,67;10,5;11,64;9,46;10,24;12,15;15,08;12,05;13,99;18,6;17,06;15,04;9,63;6,57;12,84
Mato Grosso;...;...;...;...;...;-;22,22;7,29;7,25;10,69;8,82;8,54;7,2;11,53;11,54;15,55;14,67;14,09;12,24;15,3;11,23;6,22;10,98
Goiás;-;...;...;-;-;31,25;18,18;12,07;10,85;10,7;7,38;7,71;6,77;12,3;12,56;11,65;14,29;11,56;11,71;14,5;9,26;6,17;10,2
Distrito Federal;...;...;...;...;-;...;22,22;5,94;4,35;5,06;6,7;3,05;3,66;5,8;5,26;6,54;9,29;7,86;7,67;7,99;3,45;3,61;5,76
Total;33,33;50;500;33,33;22,22;12,13;16,84;10,78;10,49;11,8;10,17;9,13;9,59;15,51;16,35;14,62;13,68;13,3;12,88;12,78;11,09;10,79;12,2
