Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Internações por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2024;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2023/Mar;2023/Abr;2023/Mai;2023/Jun;2023/Jul;2023/Ago;2023/Set;2023/Out;2023/Nov;2023/Dez;2024/Jan;2024/Fev;2024/Mar;2024/Abr;2024/Mai;2024/Jun;2024/Jul;2024/Ago;2024/Set;2024/Out;2024/Nov;2024/Dez;Total
Rondônia;1334;1758;1846;1617;1470;1360;1217;1163;1037;885;840;731;1034;1644;1786;1547;1572;1163;1150;1009;872;277;27312
Acre;337;361;527;670;808;625;477;448;446;371;291;344;370;455;530;539;621;443;422;380;379;265;10109
Amazonas;1796;2262;2752;2990;3149;2449;1600;1578;1663;1342;1262;1194;1642;2046;2744;2793;2390;1839;1722;1580;1433;1339;43565
Roraima;460;427;426;476;483;508;404;461;672;487;561;538;397;288;252;365;531;425;548;241;166;96;9212
Pará;4464;5623;5953;5846;5220;4612;4504;4219;3922;3832;3608;3568;4862;5713;5944;5217;4435;3671;3505;3534;3463;2513;98228
Amapá;367;454;720;692;856;643;441;472;334;377;432;309;422;407;552;551;672;480;538;459;459;390;11027
Tocantins;709;919;1176;953;734;752;787;608;530;710;523;581;664;1026;1078;1032;944;771;746;660;547;186;16636
Maranhão;4214;4815;6220;6156;5384;4451;4225;4008;3829;3632;3261;2759;4270;5418;5419;4906;4374;3841;3715;3616;3211;2433;94157
Piauí;2126;2304;2868;2735;2405;2153;2108;2032;1981;1773;1656;1427;1853;2564;2647;2422;2147;1844;1741;1814;1548;1489;45637
Ceará;5063;6924;7654;7553;5943;5256;5269;5053;5187;4481;3982;3870;5072;6673;7491;7480;6291;5347;5507;4850;4540;3480;122966
Rio Grande do Norte;1033;1110;1342;1441;1463;1408;1424;1280;1171;1153;1041;945;1025;1441;1523;1485;1457;1422;1240;1187;1136;743;27470
Paraíba;1982;2362;2714;2711;2653;2542;2146;2125;1897;1785;1527;1513;2433;2864;3532;3051;2994;2702;2814;2629;2112;1786;52874
Pernambuco;4246;4875;6118;5835;5463;4903;4297;5087;4608;4110;3164;2763;3821;5662;6521;6080;5664;4975;4980;5028;4405;1406;104011
Alagoas;881;913;1020;1097;1135;1176;1020;972;936;789;688;558;696;984;1135;1118;1030;885;969;936;795;443;20176
Sergipe;648;796;1030;964;1180;1106;993;1030;920;844;818;701;795;732;1083;1014;1081;925;941;973;857;809;20240
Bahia;6085;6935;7923;8043;8177;7610;6865;6902;6253;5636;5123;4654;5885;7398;8469;7815;8122;8054;7327;7384;6644;5310;152614
Minas Gerais;12569;12837;13848;14147;14860;13541;12462;11293;10731;9799;9405;9118;11210;14284;15871;16279;17161;15399;14604;13541;12181;11111;286251
Espirito Santo;1856;2078;2310;2460;2326;2310;2155;1979;1911;1733;1480;1431;1837;2442;2514;2456;2446;2577;2678;2109;1949;1647;46684
Rio de Janeiro;5795;6705;7803;7243;6844;6462;6329;6046;5511;4893;4224;3892;5062;6139;7372;7207;7077;6305;6418;5737;5513;4682;133259
São Paulo;22001;22208;24382;24704;23771;23080;20053;19201;18735;17082;15463;15118;19918;23933;25224;25683;24971;24878;23021;22134;21089;19270;475919
Paraná;8008;8808;9592;9791;9851;9310;8650;7869;7370;6675;6347;6034;7110;8174;9535;10792;10713;10705;10613;10018;8900;7550;192415
Santa Catarina;4368;4883;6200;6193;6234;5436;5218;4836;4677;4003;3899;3638;4375;5242;6527;6770;6894;6818;6505;6509;5379;4817;119421
Rio Grande do Sul;6260;6984;8985;9894;9786;9464;8446;7822;7367;6573;5846;4824;5924;6964;7874;9379;9831;10192;10021;10145;8384;6807;177772
Mato Grosso do Sul;1644;2048;2183;2307;2310;2240;2017;1821;1693;1645;1527;1244;1336;1559;1802;2299;2269;2205;2209;2122;1669;1526;41675
Mato Grosso;2113;2426;2767;2280;2013;1916;1673;1557;1480;1507;1401;1331;1898;2450;2878;2404;2364;2064;2025;1740;1408;992;42687
Goiás;3878;3900;4028;3786;4094;3464;3354;2769;2691;2668;2527;2662;3186;3833;4227;3889;3595;3140;3306;3180;2619;2184;72980
Distrito Federal;2475;2267;2441;2142;1789;2056;1715;1538;1525;1378;1229;1259;1760;2661;2676;2372;2107;1729;1574;1685;1589;1660;41627
Total;106712;117982;134828;134726;130401;120833;109849;104169;99077;90163;82125;77006;98857;122996;137206;136945;133753;124799;120839;115200;103247;85211;2486924
