Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Internações por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2023;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2022/Fev;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago;2022/Set;2022/Out;2022/Nov;2022/Dez;2023/Jan;2023/Fev;2023/Mar;2023/Abr;2023/Mai;2023/Jun;2023/Jul;2023/Ago;2023/Set;2023/Out;2023/Nov;2023/Dez;Total
Rondônia;1;-;-;-;2;1;7;74;141;322;635;965;1616;2090;2050;1485;1289;1209;1075;1010;746;526;15244
Acre;-;-;-;-;-;3;8;31;68;163;296;280;338;430;609;712;714;549;433;481;335;169;5619
Amazonas;-;-;-;-;-;1;7;97;284;652;1325;1452;2028;2593;3052;3101;2629;2151;1586;1473;1165;667;24263
Roraima;-;-;-;-;-;3;86;260;313;356;387;399;439;383;554;622;675;628;400;159;25;18;5707
Pará;1;-;-;-;2;1;16;192;564;1423;3502;3543;5241;5745;6532;5879;4614;4414;4342;3929;3283;2071;55294
Amapá;-;-;-;-;-;-;13;101;129;178;323;356;508;596;822;759;562;554;387;377;231;130;6026
Tocantins;-;-;-;-;-;1;37;249;263;380;495;654;956;1015;1086;895;699;694;691;431;366;231;9143
Maranhão;-;-;-;-;-;4;8;127;399;1135;2908;3114;4890;5642;6789;6071;4785;4085;3886;3816;3271;2268;53198
Piauí;-;-;-;-;-;-;6;120;258;629;1644;1659;2230;2612;3276;2635;2239;2114;1933;1931;1693;942;25921
Ceará;-;-;-;-;1;2;59;355;811;1677;3235;4036;6095;7653;8922;6915;5029;4891;4853;4621;4038;2529;65722
Rio Grande do Norte;-;-;-;1;2;1;19;118;232;444;862;837;984;1296;1683;1384;1422;1394;1335;1067;900;631;14612
Paraíba;-;-;-;-;-;2;16;110;275;643;1325;1463;2186;2888;3111;2518;2307;2430;1947;1903;1662;1047;25833
Pernambuco;-;-;-;-;-;4;98;104;270;1314;3458;3459;4366;5544;6602;5650;5091;4814;4398;4821;4020;2531;56544
Alagoas;-;-;-;-;1;7;27;109;264;403;773;678;1018;1035;1212;1197;1009;1059;933;896;615;293;11529
Sergipe;-;-;-;-;-;2;18;159;342;509;584;560;830;1226;1185;1037;1023;919;950;759;425;260;10788
Bahia;-;-;-;-;-;3;86;408;1093;2419;4609;4455;7448;7731;9013;7965;7524;7302;6294;5882;4615;2835;79682
Minas Gerais;-;-;-;1;4;7;69;759;1668;4473;8987;10154;14315;13369;14928;14176;14757;12670;11355;9822;8562;4969;145045
Espirito Santo;-;-;-;-;-;2;45;275;529;965;1405;1545;2413;2457;2529;2339;2282;2238;1899;1549;1183;624;24279
Rio de Janeiro;-;-;-;2;1;10;56;393;924;2183;4174;4504;6664;7955;8119;7067;6583;6206;5754;5383;4224;2294;72496
São Paulo;1;-;-;4;12;73;181;964;2155;6128;15222;19023;23771;23287;25468;24104;22467;22202;19248;18072;16510;10504;249396
Paraná;-;-;-;-;4;25;96;783;1327;2841;5321;6091;9408;9528;10441;9810;9539;9140;7857;6911;5877;3498;98497
Santa Catarina;-;-;1;-;-;9;52;430;929;1891;3267;3189;5010;5708;7021;5864;5837;5282;4798;4548;3513;1912;59261
Rio Grande do Sul;-;-;1;1;3;13;105;619;1306;3408;5210;4203;7201;8048;10949;10025;9555;8892;7576;7086;5465;2822;92488
Mato Grosso do Sul;-;1;-;-;2;5;71;575;797;1077;1083;1194;2390;2493;2629;2174;2268;1774;1663;1266;861;333;22656
Mato Grosso;-;-;-;-;-;1;16;145;269;551;1185;1625;2558;2771;2670;2058;1877;1863;1584;1386;1102;808;22469
Goiás;-;-;1;1;1;8;32;282;563;1292;2858;3716;4510;3804;4054;3483;3511;3224;2962;2521;2184;1485;40492
Distrito Federal;-;-;-;-;1;1;4;87;231;800;1556;2071;2801;2459;2359;2000;1744;1720;1430;1401;1275;618;22558
Total;3;1;3;10;36;189;1238;7926;16404;38256;76629;85225;122214;130358;147665;131925;122031;114418;101569;93501;78146;47015;1314762
